airlineName,flightNumber,craftTypeName,departureDate,arrivalDate,departureCityTlc,departureCityName,departureAirportTlc,departureAirportName,departureAirportTerminal,arrivalCityTlc,arrivalCityName,arrivalAirportTlc,arrivalAirportName,arrivalAirportTerminal,price
华夏航空,G56092,机型未定,2020-07-06 07:05:00,2020-07-06 12:05:00,ACX,兴义,ACX,兴义机场,T2,HFE,合肥,HFE,新桥国际机场,,780
长龙航空,GJ8818,空客320,2020-07-06 12:25:00,2020-07-06 16:55:00,ACX,兴义,ACX,兴义机场,T2,HGH,杭州,HGH,萧山国际机场,T3,720
华夏航空,G56015,机型未定,2020-07-06 07:05:00,2020-07-06 12:35:00,ACX,兴义,ACX,兴义机场,T2,KHN,南昌,KHN,昌北国际机场,T2,1050
华夏航空,G52602,庞巴迪900,2020-07-06 07:05:00,2020-07-06 08:00:00,ACX,兴义,ACX,兴义机场,T2,KWE,贵阳,KWE,龙洞堡国际机场,T1,360
山东航空,SC3602,庞巴迪900,2020-07-06 07:05:00,2020-07-06 08:00:00,ACX,兴义,ACX,兴义机场,T2,KWE,贵阳,KWE,龙洞堡国际机场,T1,380
华夏航空,G52628,庞巴迪900,2020-07-06 08:50:00,2020-07-06 09:45:00,ACX,兴义,ACX,兴义机场,T2,KWE,贵阳,KWE,龙洞堡国际机场,T1,300
华夏航空,G52676,庞巴迪900,2020-07-06 12:25:00,2020-07-06 13:20:00,ACX,兴义,ACX,兴义机场,T2,KWE,贵阳,KWE,龙洞堡国际机场,T1,360
山东航空,SC3608,庞巴迪900,2020-07-06 15:40:00,2020-07-06 16:35:00,ACX,兴义,ACX,兴义机场,T2,KWE,贵阳,KWE,龙洞堡国际机场,T1,380
华夏航空,G52608,庞巴迪900,2020-07-06 15:40:00,2020-07-06 16:35:00,ACX,兴义,ACX,兴义机场,T2,KWE,贵阳,KWE,龙洞堡国际机场,T1,360
华夏航空,G52610,庞巴迪900,2020-07-06 17:45:00,2020-07-06 18:40:00,ACX,兴义,ACX,兴义机场,T2,KWE,贵阳,KWE,龙洞堡国际机场,T1,360
山东航空,SC3610,庞巴迪900,2020-07-06 17:45:00,2020-07-06 18:40:00,ACX,兴义,ACX,兴义机场,T2,KWE,贵阳,KWE,龙洞堡国际机场,T1,380
华夏航空,G52612,庞巴迪900,2020-07-06 19:15:00,2020-07-06 20:15:00,ACX,兴义,ACX,兴义机场,T2,KWE,贵阳,KWE,龙洞堡国际机场,T1,300
华夏航空,G52630,庞巴迪900,2020-07-06 21:05:00,2020-07-06 22:00:00,ACX,兴义,ACX,兴义机场,T2,KWE,贵阳,KWE,龙洞堡国际机场,T1,200
山东航空,SC3612,庞巴迪900,2020-07-06 21:05:00,2020-07-06 22:00:00,ACX,兴义,ACX,兴义机场,T2,KWE,贵阳,KWE,龙洞堡国际机场,T1,380
多彩航空,GY7208,巴航工190,2020-07-06 22:35:00,2020-07-06 23:25:00,ACX,兴义,ACX,兴义机场,T2,KWE,贵阳,KWE,龙洞堡国际机场,T1,139
华夏航空,G56091,机型未定,2020-07-06 17:45:00,2020-07-06 23:15:00,ACX,兴义,ACX,兴义机场,T2,LXA,拉萨,LXA,贡嘎国际机场,,1390
长龙航空,GJ8946,空客320,2020-07-06 11:30:00,2020-07-06 14:20:00,ACX,兴义,ACX,兴义机场,T2,NGB,宁波,NGB,栎社国际机场,T2,710
华夏航空,G56091,机型未定,2020-07-06 17:45:00,2020-07-06 23:15:00,ACX,兴义,ACX,兴义机场,T2,LXA,拉萨,LXA,贡嘎国际机场,,1390
成都航空,EU2213,空客320,2020-07-06 17:15:00,2020-07-06 18:55:00,ACX,兴义,ACX,兴义机场,T2,SZX,深圳,SZX,宝安国际机场,T3,710
华夏航空,G56113,机型未定,2020-07-06 07:05:00,2020-07-06 12:55:00,ACX,兴义,ACX,兴义机场,T2,TNA,济南,TNA,遥墙国际机场,,740
华夏航空,G56089,机型未定,2020-07-06 12:25:00,2020-07-06 18:25:00,ACX,兴义,ACX,兴义机场,T2,WNZ,温州,WNZ,龙湾国际机场,T2,1360
长龙航空,GJ8818,空客320,2020-07-06 12:25:00,2020-07-06 14:25:00,ACX,兴义,ACX,兴义机场,T2,WUH,武汉,WUH,天河国际机场,T3,380
多彩航空,GY7209,巴航工190,2020-07-06 09:15:00,2020-07-06 10:10:00,ACX,兴义,ACX,兴义机场,T2,ZYI,遵义,WMT,茅台机场,,170
北部湾航空,GX8853,巴航工190,2020-07-06 12:10:00,2020-07-06 13:40:00,NNG,南宁,NNG,吴圩国际机场,T2,CGD,常德,CGD,桃花源机场,T2,540
昆明航空,KY8261,波音738,2020-07-06 08:50:00,2020-07-06 14:45:00,KMG,昆明,KMG,长水国际机场,,DAT,大同,DAT,云冈机场,,499
青岛航空,QW6157,空客320,2020-07-06 06:05:00,2020-07-06 08:55:00,KMG,昆明,KMG,长水国际机场,,DOY,东营,DOY,胜利机场,,500
山东航空,SC7033,空客320,2020-07-06 06:30:00,2020-07-06 08:10:00,KMG,昆明,KMG,长水国际机场,,GYS,广元,GYS,盘龙机场,,570
东方航空,MU4625,空客320,2020-07-06 06:30:00,2020-07-06 08:10:00,KMG,昆明,KMG,长水国际机场,,GYS,广元,GYS,盘龙机场,,490
四川航空,3U8947,空客320,2020-07-06 06:30:00,2020-07-06 08:10:00,KMG,昆明,KMG,长水国际机场,,GYS,广元,GYS,盘龙机场,,440
天津航空,GS7603,巴航工195,2020-07-06 17:25:00,2020-07-06 18:40:00,AEB,百色,AEB,百色机场,,HAK,海口,HAK,美兰国际机场,,368
东方航空,MU2780,空客320,2020-07-06 13:20:00,2020-07-06 15:15:00,NNG,南宁,NNG,吴圩国际机场,T2,JGS,井冈山,JGS,井冈山机场,,410
奥凯航空,BK3068,波音737,2020-07-06 15:50:00,2020-07-06 18:40:00,NNG,南宁,NNG,吴圩国际机场,T2,LFQ,临汾,LFQ,临汾尧都机场,,300
祥鹏航空,8L9716,波音737,2020-07-06 15:15:00,2020-07-06 17:20:00,NNG,南宁,NNG,吴圩国际机场,T2,MIG,绵阳,MIG,南郊机场,,300
东方航空,MU2481,波音737,2020-07-06 11:25:00,2020-07-06 16:20:00,KMG,昆明,KMG,长水国际机场,,RIZ,日照,RIZ,山字河机场,,700
天津航空,GS7604,巴航工195,2020-07-06 22:10:00,2020-07-07 00:15:00,AEB,百色,AEB,百色机场,,SIA,西安,XIY,咸阳国际机场,T2,618
奥凯航空,BK2860,波音737,2020-07-06 14:50:00,2020-07-06 16:15:00,AEB,百色,AEB,百色机场,,SZX,深圳,SZX,宝安国际机场,T3,563
奥凯航空,BK2860,波音737,2020-07-06 14:50:00,2020-07-06 20:25:00,AEB,百色,AEB,百色机场,,TSN,天津,TSN,滨海国际机场,T2,2239
深圳航空,ZH3175,波音738,2020-07-06 18:50:00,2020-07-06 21:10:00,KMG,昆明,KMG,长水国际机场,,XFN,襄阳,XFN,刘集机场,,590
昆明航空,KY8275,波音738,2020-07-06 18:50:00,2020-07-06 21:10:00,KMG,昆明,KMG,长水国际机场,,XFN,襄阳,XFN,刘集机场,,479
西部航空,PN6250,空客320,2020-07-06 12:55:00,2020-07-06 17:25:00,AKU,阿克苏,AKU,阿克苏机场,,CGO,郑州,CGO,新郑国际机场,T2,590
长龙航空,GJ8782,空客320,2020-07-06 16:30:00,2020-07-06 20:45:00,AKU,阿克苏,AKU,阿克苏机场,,CGO,郑州,CGO,新郑国际机场,T2,980
南方航空,CZ8671,空客320,2020-07-06 18:50:00,2020-07-06 23:15:00,AKU,阿克苏,AKU,阿克苏机场,,CKG,重庆,CKG,江北国际机场,T3,970
华夏航空,G58235,空客320,2020-07-06 21:40:00,2020-07-07 01:40:00,AKU,阿克苏,AKU,阿克苏机场,,CTU,成都,CTU,双流国际机场,T2,1260
中国国航,CA4244,空客320,2020-07-06 21:40:00,2020-07-07 01:40:00,AKU,阿克苏,AKU,阿克苏机场,,CTU,成都,CTU,双流国际机场,T2,840
华夏航空,G58235,空客320,2020-07-06 21:40:00,2020-07-07 01:40:00,AKU,阿克苏,AKU,阿克苏机场,,CTU,成都,CTU,双流国际机场,T2,1260
中国国航,CA4244,空客320,2020-07-06 21:40:00,2020-07-07 01:40:00,AKU,阿克苏,AKU,阿克苏机场,,CTU,成都,CTU,双流国际机场,T2,840
南方航空,CZ8671,空客320,2020-07-06 18:50:00,2020-07-06 23:15:00,AKU,阿克苏,AKU,阿克苏机场,,CKG,重庆,CKG,江北国际机场,T3,970
华夏航空,G54387,庞巴迪900,2020-07-06 08:25:00,2020-07-06 11:40:00,AKU,阿克苏,AKU,阿克苏机场,,FYN,富蕴,FYN,富蕴机场,,250
南方航空,CZ6919,波音737,2020-07-06 09:30:00,2020-07-06 16:40:00,AKU,阿克苏,AKU,阿克苏机场,,HGH,杭州,HGH,萧山国际机场,T3,1150
长龙航空,GJ8782,空客320,2020-07-06 16:30:00,2020-07-06 23:30:00,AKU,阿克苏,AKU,阿克苏机场,,HGH,杭州,HGH,萧山国际机场,T3,1150
华夏航空,G54379,庞巴迪900,2020-07-06 16:25:00,2020-07-06 18:45:00,AKU,阿克苏,AKU,阿克苏机场,,HTN,和田,HTN,和田机场,,300
华夏航空,G54363,庞巴迪900,2020-07-06 17:40:00,2020-07-06 20:10:00,AKU,阿克苏,AKU,阿克苏机场,,HTN,和田,HTN,和田机场,,300
华夏航空,G54395,庞巴迪900,2020-07-06 08:40:00,2020-07-06 09:25:00,AKU,阿克苏,AKU,阿克苏机场,,KCA,库车,KCA,龟兹机场,,100
南方航空,CZ8672,空客320,2020-07-06 14:35:00,2020-07-06 15:50:00,AKU,阿克苏,AKU,阿克苏机场,,KHG,喀什,KHG,喀什机场,,330
南方航空,CZ6896,波音737,2020-07-06 22:15:00,2020-07-06 23:20:00,AKU,阿克苏,AKU,阿克苏机场,,KHG,喀什,KHG,喀什机场,,330
华夏航空,G54332,庞巴迪900,2020-07-06 23:40:00,2020-07-07 00:40:00,AKU,阿克苏,AKU,阿克苏机场,,KRL,库尔勒,KRL,库尔勒机场,,310
华夏航空,G54387,庞巴迪900,2020-07-06 08:25:00,2020-07-06 10:00:00,AKU,阿克苏,AKU,阿克苏机场,,KRY,克拉玛依,KRY,克拉玛依机场,,250
西藏航空,TV6834,波音738,2020-07-06 18:35:00,2020-07-07 01:30:00,AKU,阿克苏,AKU,阿克苏机场,,TAO,青岛,TAO,流亭国际机场,T1,1980
中国国航,CA8816,波音738,2020-07-06 18:35:00,2020-07-07 01:30:00,AKU,阿克苏,AKU,阿克苏机场,,TAO,青岛,TAO,流亭国际机场,T1,1620
山东航空,SC8816,波音738,2020-07-06 18:35:00,2020-07-07 01:30:00,AKU,阿克苏,AKU,阿克苏机场,,TAO,青岛,TAO,流亭国际机场,T1,1080
华夏航空,G54363,庞巴迪900,2020-07-06 17:40:00,2020-07-06 18:40:00,AKU,阿克苏,AKU,阿克苏机场,,QSZ,莎车,QSZ,莎车机场,,300
西藏航空,TV6834,波音738,2020-07-06 18:35:00,2020-07-07 01:30:00,AKU,阿克苏,AKU,阿克苏机场,,TAO,青岛,TAO,流亭国际机场,T1,1980
中国国航,CA8816,波音738,2020-07-06 18:35:00,2020-07-07 01:30:00,AKU,阿克苏,AKU,阿克苏机场,,TAO,青岛,TAO,流亭国际机场,T1,1620
山东航空,SC8816,波音738,2020-07-06 18:35:00,2020-07-07 01:30:00,AKU,阿克苏,AKU,阿克苏机场,,TAO,青岛,TAO,流亭国际机场,T1,1080
南方航空,CZ6895,波音737,2020-07-06 10:45:00,2020-07-06 14:20:00,AKU,阿克苏,AKU,阿克苏机场,,SIA,西安,XIY,咸阳国际机场,T3,800
中国国航,CA8816,波音738,2020-07-06 18:35:00,2020-07-06 22:10:00,AKU,阿克苏,AKU,阿克苏机场,,SIA,西安,XIY,咸阳国际机场,T2,1190
西藏航空,TV6834,波音738,2020-07-06 18:35:00,2020-07-06 22:10:00,AKU,阿克苏,AKU,阿克苏机场,,SIA,西安,XIY,咸阳国际机场,T2,1460
山东航空,SC8816,波音738,2020-07-06 18:35:00,2020-07-06 22:10:00,AKU,阿克苏,AKU,阿克苏机场,,SIA,西安,XIY,咸阳国际机场,T2,360
东方航空,MU2190,空客320,2020-07-06 22:35:00,2020-07-07 01:55:00,AKU,阿克苏,AKU,阿克苏机场,,SIA,西安,XIY,咸阳国际机场,T3,330
西藏航空,TV6834,波音738,2020-07-06 18:35:00,2020-07-07 01:30:00,AKU,阿克苏,AKU,阿克苏机场,,TAO,青岛,TAO,流亭国际机场,T1,1980
中国国航,CA8816,波音738,2020-07-06 18:35:00,2020-07-07 01:30:00,AKU,阿克苏,AKU,阿克苏机场,,TAO,青岛,TAO,流亭国际机场,T1,1620
山东航空,SC8816,波音738,2020-07-06 18:35:00,2020-07-07 01:30:00,AKU,阿克苏,AKU,阿克苏机场,,TAO,青岛,TAO,流亭国际机场,T1,1080
华夏航空,G54369,庞巴迪900,2020-07-06 15:00:00,2020-07-06 16:30:00,AKU,阿克苏,AKU,阿克苏机场,,TLQ,吐鲁番,TLQ,交河机场,,230
华夏航空,G54346,空客320,2020-07-06 17:45:00,2020-07-07 00:05:00,AKU,阿克苏,AKU,阿克苏机场,,TSN,天津,TSN,滨海国际机场,T2,690
南方航空,CZ6919,波音737,2020-07-06 09:30:00,2020-07-06 16:40:00,AKU,阿克苏,AKU,阿克苏机场,,HGH,杭州,HGH,萧山国际机场,T3,1150
长龙航空,GJ8782,空客320,2020-07-06 16:30:00,2020-07-06 23:30:00,AKU,阿克苏,AKU,阿克苏机场,,HGH,杭州,HGH,萧山国际机场,T3,1150
南方航空,CZ6862,波音737,2020-07-06 07:35:00,2020-07-06 08:50:00,AKU,阿克苏,AKU,阿克苏机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T3,340
南方航空,CZ6919,波音737,2020-07-06 09:30:00,2020-07-06 10:45:00,AKU,阿克苏,AKU,阿克苏机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T3,400
天津航空,GS7514,空客320,2020-07-06 13:30:00,2020-07-06 14:50:00,AKU,阿克苏,AKU,阿克苏机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T2,315
南方航空,CZ6864,波音737,2020-07-06 13:40:00,2020-07-06 14:55:00,AKU,阿克苏,AKU,阿克苏机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T3,380
南方航空,CZ5670,波音738,2020-07-06 16:05:00,2020-07-06 17:20:00,AKU,阿克苏,AKU,阿克苏机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T3,420
南方航空,CZ6868,波音737,2020-07-06 18:15:00,2020-07-06 19:30:00,AKU,阿克苏,AKU,阿克苏机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T3,380
南方航空,CZ5688,波音737,2020-07-06 22:30:00,2020-07-06 23:50:00,AKU,阿克苏,AKU,阿克苏机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T3,240
长龙航空,GJ8928,空客320,2020-07-06 23:30:00,2020-07-07 00:50:00,AKU,阿克苏,AKU,阿克苏机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T2,210
天津航空,GS7518,空客320,2020-07-06 23:50:00,2020-07-07 01:05:00,AKU,阿克苏,AKU,阿克苏机场,,URC,乌鲁木齐,URC,地窝堡国际机场,T2,215
长龙航空,GJ8782,空客320,2020-07-06 16:30:00,2020-07-06 20:45:00,AKU,阿克苏,AKU,阿克苏机场,,CGO,郑州,CGO,新郑国际机场,T2,980
西部航空,PN6250,空客320,2020-07-06 12:55:00,2020-07-06 17:25:00,AKU,阿克苏,AKU,阿克苏机场,,CGO,郑州,CGO,新郑国际机场,T2,590
华夏航空,G54346,空客320,2020-07-06 17:45:00,2020-07-06 20:45:00,AKU,阿克苏,AKU,阿克苏机场,,XNN,西宁,XNN,曹家堡机场,T2,510
华夏航空,G54331,庞巴迪900,2020-07-06 10:50:00,2020-07-06 12:10:00,AKU,阿克苏,AKU,阿克苏机场,,YIN,伊宁市,YIN,伊宁机场,,510
华夏航空,G54370,庞巴迪900,2020-07-06 19:30:00,2020-07-06 20:50:00,AKU,阿克苏,AKU,阿克苏机场,,YIN,伊宁市,YIN,伊宁机场,,510
南方航空,CZ6564,巴航工190,2020-07-06 15:45:00,2020-07-06 19:30:00,AOG,鞍山,AOG,腾鳌机场,,CAN,广州,CAN,白云国际机场,T2,1260
昆明航空,KY9719,波音738,2020-07-06 17:40:00,2020-07-06 20:25:00,SHE,沈阳,SHE,桃仙国际机场,T3,HFE,合肥,HFE,新桥国际机场,,406
深圳航空,ZH9709,波音738,2020-07-06 17:40:00,2020-07-06 20:25:00,SHE,沈阳,SHE,桃仙国际机场,T3,HFE,合肥,HFE,新桥国际机场,,250
瑞丽航空,DR6569,波音737,2020-07-06 08:40:00,2020-07-06 11:35:00,SHE,沈阳,SHE,桃仙国际机场,T3,HFE,合肥,HFE,新桥国际机场,,210
中国国航,CA8933,波音737,2020-07-06 07:45:00,2020-07-06 09:40:00,DLC,大连,DLC,周水子国际机场,,HFE,合肥,HFE,新桥国际机场,,300
海南航空,HU7336,波音738,2020-07-06 12:55:00,2020-07-06 14:50:00,DLC,大连,DLC,周水子国际机场,,HFE,合肥,HFE,新桥国际机场,,295
长龙航空,GJ8731,空客320,2020-07-06 14:30:00,2020-07-06 16:30:00,DLC,大连,DLC,周水子国际机场,,HFE,合肥,HFE,新桥国际机场,,250
山东航空,SC3788,庞巴迪900,2020-07-06 11:40:00,2020-07-06 13:10:00,SHE,沈阳,SHE,桃仙国际机场,T3,HUO,霍林郭勒,HUO,霍林河机场,,620
华夏航空,G52884,庞巴迪900,2020-07-06 11:40:00,2020-07-06 13:10:00,SHE,沈阳,SHE,桃仙国际机场,T3,HUO,霍林郭勒,HUO,霍林河机场,,320
山东航空,SC8049,波音738,2020-07-06 08:55:00,2020-07-06 11:15:00,DLC,大连,DLC,周水子国际机场,,JSJ,建三江,JSJ,建三江机场,,750
春秋航空,9C8925,空客320,2020-07-06 14:10:00,2020-07-06 16:55:00,SHE,沈阳,SHE,桃仙国际机场,T3,LYA,洛阳,LYA,北郊机场,,380
东方航空,MU5800,波音737,2020-07-06 19:15:00,2020-07-06 21:10:00,DLC,大连,DLC,周水子国际机场,,LYA,洛阳,LYA,北郊机场,,570
南方航空,CZ6385,空客321,2020-07-06 14:10:00,2020-07-06 15:45:00,SHE,沈阳,SHE,桃仙国际机场,T3,MDG,牡丹江,MDG,海浪机场,,480
山东航空,SC8771,波音738,2020-07-06 18:05:00,2020-07-06 19:50:00,DLC,大连,DLC,周水子国际机场,,MDG,牡丹江,MDG,海浪机场,,660
东方航空,MU9509,波音737,2020-07-06 14:30:00,2020-07-06 16:30:00,DLC,大连,DLC,周水子国际机场,,MDG,牡丹江,MDG,海浪机场,,395
南方航空,CZ6265,空客320,2020-07-06 13:45:00,2020-07-06 15:35:00,DLC,大连,DLC,周水子国际机场,,MDG,牡丹江,MDG,海浪机场,,370
长龙航空,GJ8696,空客320,2020-07-06 13:00:00,2020-07-06 16:55:00,SHE,沈阳,SHE,桃仙国际机场,T3,NGB,宁波,NGB,栎社国际机场,T2,380
春秋航空,9C8695,空客320,2020-07-06 07:55:00,2020-07-06 10:40:00,SHE,沈阳,SHE,桃仙国际机场,T3,NGB,宁波,NGB,栎社国际机场,T2,350
首都航空,JD5253,空客32C,2020-07-06 10:35:00,2020-07-06 12:45:00,DLC,大连,DLC,周水子国际机场,,NGB,宁波,NGB,栎社国际机场,T2,260
南方航空,CZ6325,空客321,2020-07-06 08:35:00,2020-07-06 10:40:00,DLC,大连,DLC,周水子国际机场,,NGB,宁波,NGB,栎社国际机场,T2,250
海南航空,HU7301,波音738,2020-07-06 07:00:00,2020-07-06 09:05:00,DLC,大连,DLC,周水子国际机场,,NGB,宁波,NGB,栎社国际机场,T2,195
吉祥航空,HO1726,全新A320 舒适飞行,2020-07-06 11:25:00,2020-07-06 13:35:00,AOG,鞍山,AOG,腾鳌机场,,NKG,南京,NKG,禄口国际机场,T2,490
青岛航空,QW6015,空客320,2020-07-06 08:45:00,2020-07-06 11:20:00,SHE,沈阳,SHE,桃仙国际机场,T3,NTG,南通,NTG,兴东国际机场,T3,200
瑞丽航空,DR6563,波音737,2020-07-06 07:15:00,2020-07-06 09:50:00,SHE,沈阳,SHE,桃仙国际机场,T3,NTG,南通,NTG,兴东国际机场,T3,179
瑞丽航空,DR6532,波音737,2020-07-06 18:45:00,2020-07-06 21:10:00,SHE,沈阳,SHE,桃仙国际机场,T3,NTG,南通,NTG,兴东国际机场,T3,180
中国国航,CA3784,波音738,2020-07-06 16:10:00,2020-07-06 18:15:00,DLC,大连,DLC,周水子国际机场,,NTG,南通,NTG,兴东国际机场,T3,600
昆明航空,KY9684,波音738,2020-07-06 16:10:00,2020-07-06 18:15:00,DLC,大连,DLC,周水子国际机场,,NTG,南通,NTG,兴东国际机场,T3,461
深圳航空,ZH9684,波音738,2020-07-06 16:10:00,2020-07-06 18:15:00,DLC,大连,DLC,周水子国际机场,,NTG,南通,NTG,兴东国际机场,T3,450
东方航空,MU9198,波音738,2020-07-06 15:00:00,2020-07-06 17:15:00,AOG,鞍山,AOG,腾鳌机场,,SHA,上海,PVG,浦东国际机场,T1,495
上海航空,FM9198,波音738,2020-07-06 15:00:00,2020-07-06 17:15:00,AOG,鞍山,AOG,腾鳌机场,,SHA,上海,PVG,浦东国际机场,T1,500
春秋航空,9C8797,空客320,2020-07-06 09:30:00,2020-07-06 12:20:00,HFE,合肥,HFE,新桥国际机场,,BHY,北海,BHY,福成机场,,430
东方航空,MU2753,空客320,2020-07-06 06:55:00,2020-07-06 11:30:00,NKG,南京,NKG,禄口国际机场,T2,BHY,北海,BHY,福成机场,,610
海南航空,HU7681,波音738,2020-07-06 18:50:00,2020-07-06 21:00:00,AQG,安庆,AQG,天柱山机场,,BJS,北京,PEK,首都国际机场,T2,683
南方航空,CZ3320,空客320,2020-07-06 13:10:00,2020-07-06 15:00:00,AQG,安庆,AQG,天柱山机场,,CAN,广州,CAN,白云国际机场,T2,940
海南航空,HU7681,波音738,2020-07-06 18:50:00,2020-07-06 21:00:00,AQG,安庆,AQG,天柱山机场,,BJS,北京,PEK,首都国际机场,T2,690
长龙航空,GJ8757,空客320,2020-07-06 06:45:00,2020-07-06 09:25:00,HGH,杭州,HGH,萧山国际机场,T3,CIF,赤峰,CIF,玉龙机场,,999
吉祥航空,HO1785,全新A320 舒适飞行,2020-07-06 07:10:00,2020-07-06 09:35:00,NKG,南京,NKG,禄口国际机场,T2,CIF,赤峰,CIF,玉龙机场,,690
首都航空,JD5842,空客320,2020-07-06 21:05:00,2020-07-06 23:30:00,HFE,合肥,HFE,新桥国际机场,,HAK,海口,HAK,美兰国际机场,,450
南方航空,CZ6189,空客321,2020-07-06 10:20:00,2020-07-06 13:10:00,NKG,南京,NKG,禄口国际机场,T2,HAK,海口,HAK,美兰国际机场,,460
海南航空,HU7092,波音738,2020-07-06 14:10:00,2020-07-06 16:55:00,NKG,南京,NKG,禄口国际机场,T2,HAK,海口,HAK,美兰国际机场,,375
海南航空,HU7090,波音738,2020-07-06 20:00:00,2020-07-06 22:35:00,NKG,南京,NKG,禄口国际机场,T2,HAK,海口,HAK,美兰国际机场,,239
海南航空,HU7682,波音738,2020-07-06 12:00:00,2020-07-06 14:25:00,AQG,安庆,AQG,天柱山机场,,HAK,海口,HAK,美兰国际机场,,960
祥鹏航空,8L9959,,2020-07-06 10:45:00,2020-07-06 12:00:00,AQG,安庆,AQG,天柱山机场,,NGB,宁波,NGB,栎社国际机场,T2,355
南方航空,CZ3320,空客320,2020-07-06 13:10:00,2020-07-06 15:00:00,AQG,安庆,AQG,天柱山机场,,CAN,广州,CAN,白云国际机场,T2,940
吉祥航空,HO1910,空客321,2020-07-06 20:05:00,2020-07-06 22:20:00,HFE,合肥,HFE,新桥国际机场,,HUZ,惠州,HUZ,平潭机场,,390
吉祥航空,HO1924,全新A320 舒适飞行,2020-07-06 22:25:00,2020-07-07 00:30:00,NKG,南京,NKG,禄口国际机场,T2,HUZ,惠州,HUZ,平潭机场,,560
祥鹏航空,8L9960,,2020-07-06 15:20:00,2020-07-06 18:05:00,AQG,安庆,AQG,天柱山机场,,KMG,昆明,KMG,长水国际机场,,845
